,isin,nome,ticker,benchmark,ter,areaBenchmark,emittente,strumento,dataSource
152,IE00BQZJC527,WISDOMTREE EU SMALLCAP DIV UCITS ETF DIS,DFE.MI,WISDOMTREE EUROPE SMALLCAP DIVIDEND INDEX,0.0038,AZIONARIO STYLE (SVILUPPATI),WISDOMTREE,ETF,IE00BQZJC527
153,IE00BDF16114,WISDOMTREE EU SMALLCAP DIV UCITS ETF ACC,DFEA.MI,WISDOMTREE EUROPE SMALLCAP DIVIDEND INDEX,0.0038,AZIONARIO STYLE (SVILUPPATI),WISDOMTREE,ETF,IE00BDF16114
156,IE00BZ56RG20,WISDOMTREE US QUAL DIV GROW UCITS ETF,DGRA.MI,WISDOMTREE US QUALITY DIVIDEND GROWTH INDEX,0.0033,AZIONARIO STYLE (SVILUPPATI),WISDOMTREE,ETF,IE00BZ56RG20
157,IE00BQZJBM26,WISDOMTREE EMERG SMALLCAP DIV UCITS ETF,WTDGSE.MI,WISDOMTREE EMERGING MARKETS SMALLCAP DIVIDEND,0.0054,AZIONARIO STYLE (EMERGENTI),WISDOMTREE,ETF,IE00BQZJBM26
158,IE00BYZK4883,ISHARES DIGITALISATION UCITS ETF USD ACC,DGTL.MI,ISTOXX FACTSET DIGITALISATION INDEX,0.004,AZIONARIO TEMATICI,ISHARES,ETF,IE00BYZK4883
159,IE00BQZJBQ63,WISDOMTREE US EQUITY INCOM UCITS ETF DIS,DHS.MI,WISDOMTREE US EQUITY INCOME INDEX,0.0029,AZIONARIO NORD AMERICA,WISDOMTREE,ETF,IE00BQZJBQ63
160,IE00BD6RZT93,WISDOMTREE US EQUITY INCOM UCITS ETF ACC,DHSA.MI,WISDOMTREE US EQUITY INCOME INDEX,0.0029,AZIONARIO NORD AMERICA,WISDOMTREE,ETF,IE00BD6RZT93
161,IE00BD6RZW23,WISDOMTREE US EQ IN UCITS ETF EU HED ACC,DHSF.MI,WISDOMTREE US EUR HEDGED EQUITY INCOME INDEX,0.0035,AZIONARIO NORD AMERICA,WISDOMTREE,ETF,IE00BD6RZW23
165,FR0007056841,LYXOR DJ INDUST AVERAGE UCITS ETF - DIST,DJE.MI,DOW JONES INDUSTRIAL AVG TRN,0.005,AZIONARIO NORD AMERICA,LYXOR,ETF,DJE.MI
166,IE00B02KXL92,ISHARES EURO STOXX MID UCITS ETF DIST,DJMC.MI,EURO STOXX MID,0.004,AZIONARIO STYLE (SVILUPPATI),ISHARES,ETF,DJMC.MI
167,IE00B02KXM00,ISHARES EURO STOXX SMALL UCITS ETF DIST,DJSC.MI,EURO STOXX SMALL,0.004,AZIONARIO STYLE (SVILUPPATI),ISHARES,ETF,DJSC.MI
168,IE00BYQCZC44,WISDOMTREE GERMANY EQ UCITS ETF EUR ACC,DXGY.MI,WISDOMTREE GERMANY EQUITY INDEX,0.0032,AZIONARIO EUROPA - AREA,WISDOMTREE,ETF,IE00BYQCZC44
169,IE00BVXC4854,WISDOMTREE JPN EQUITY UCITS ETF USD HEDG,DXJ.MI,WISDOMTREE JAPAN HEDGED EQUITY TRN,0.0048,AZIONARIO PACIFICO,WISDOMTREE,ETF,IE00BVXC4854
170,IE00BYQCZJ13,WISDOMTREE JAP EQ UCITS ETF EUR HED ACC,DXJF.MI,WISDOMTREE JAPAN EUR HEDGED EQUITY INDEX,0.0045,AZIONARIO PACIFICO,WISDOMTREE,ETF,IE00BYQCZJ13
171,IE00BYQCZN58,WISDOMTREE JAPAN EQ UCITS ETF JPY ACC,DXJZ.MI,WISDOMTREE JAPAN EQUITY INDEX,0.004,AZIONARIO PACIFICO,WISDOMTREE,ETF,IE00BYQCZN58
172,IE00BRKWGL70,INVESCO S&P 500 UCITS ETF EUR HDG ACC,E500.MI,S&P 500 EURO HEDGED TRN,0.0005,AZIONARIO NORD AMERICA,INVESCO,ETF,E500.MI
173,LU0136234068,UBS EURO STOXX 50 UCITS ETF A-DIS,E50EUA.MI,EURO STOXX 50,0.0015,AZIONARIO EUROPA - AREA,UBS ETF,ETF,E50EUA.MI
174,LU1525418643,AMUNDI BAR EU CORP BBB 1-5 UCITS ETF DR,EBBB.MI,BARCLAYS EURO CORPORATE BBB 1-5 YEAR,0.002,OBBLIGAZIONARIO CORPORATE - EURO,AMUNDI,ETF,LU1525418643
175,LU1372156916,UC TH REU BAL EU CONV BOND DIS UCITS ETF,ECBC.MI,THOMSON REUTERS MONTHLY EUROPE FOCUS CONV INDEX,0.0095,OBBLIGAZIONARIO CORPORATE - EURO,STRUCTURED INVEST,ETF,LU1372156916
176,LU1199448058,UC TH REU BAL EU CONV BOND UCITS ETF,ECBD.MI,THOMSON REUTERS MONTHLY EUROPE FOCUS CONV INDEX,0.0095,OBBLIGAZIONARIO CORPORATE - EURO,STRUCTURED INVEST,ETF,LU1199448058
177,LU0721553864,UBS IBX EUR LIQ CORPOR UCITS ETF A-DIS,ECOEUA.MI,MARKIT IBOXX EURO LIQUID CORPORATE,0.002,OBBLIGAZIONARIO CORPORATE - EURO,UBS ETF,ETF,LU0721553864
179,LU1437018168,AMUNDI INDEX EUR AGG CORP SRI UCITS ETF,ECRPI.MI,BLOOMBERG BARCLAYS MSCI EURO CORPORATE SRI,0.0016,OBBLIGAZIONARIO CORPORATE - EURO,AMUNDI,ETF,LU1437018168
180,LU0950381748,BNPP EASY FTSE EPRA EUROZONE UCITS ETF,EEA.MI,FTSE EPRA/NAREIT EUROZONE CAPPED (NTR) INDEX,0.005,REAL ESTATE,BNP PARIBAS,ETF,LU0950381748
181,IE00BQZJBX31,WISDOMTREE EUROPE EQ INCOM UCITS ETF DIS,WTEEI.MI,WISDOMTREE EUROPE EQUITY INCOME INDEX,0.0029,AZIONARIO EUROPA - AREA,WISDOMTREE,ETF,IE00BQZJBX31
182,IE00BDF16007,WISDOMTREE EUROPE EQ INCOM UCITS ETF ACC,EEIA.MI,WISDOMTREE EUROPE EQUITY INCOME INDEX,0.0029,AZIONARIO EUROPA - AREA,WISDOMTREE,ETF,IE00BDF16007
183,LU1291097779,BNPP EASY MSCI EM EXCW UCITS ETF,EEMK.MI,MSCI EMERGING MARKETS EX CONTROVERSIAL WEAPONS NTR,0.0035,AZIONARIO TEMATICI,BNP PARIBAS,ETF,LU1291097779
184,LU1291098827,BNPP EASY MSCI EMU EXCW UCITS ETF,EEMU.MI,MSCI EMU EX CONTROVERSIAL WEAPONS (NTR) INDEX,0.0025,AZIONARIO TEMATICI,BNP PARIBAS,ETF,LU1291098827
185,LU1291109293,BNPP EASY NMX 30 INFRA GLOBAL UCITS ETF,EENG.MI,NMX 30 INFRASTRUCTURE GLOBAL (TR) INDEX,0.007,AZIONARIO TEMATICI,BNP PARIBAS,ETF,LU1291109293
186,LU1792117340,LYXOR MSCI EMU ESG TREND L DR UCITS ETF,EESG.MI,MSCI EMU SELEC ESG RATING AND TREND LEADERS NR EUR,0.002,AZIONARIO TEMATICI,LYXOR,ETF,EESG.MI
187,LU1291099718,BNPP EASY MSCI EUROPE EXCW UCITS ETF,EEUE.MI,MSCI EUROPE EX CONTROVERSIAL WEAPONS (NTR) INDEX,0.0025,AZIONARIO TEMATICI,BNP PARIBAS,ETF,LU1291099718
188,IE00BMW3NY56,INVESCO GS EQUITY FAC EUROPE UCITS ETF,EFIE.MI,GOLDMAN SACHS EQUITY FACTOR INDEX EUROPE TRN,0.0045,AZIONARIO EUROPA - AREA,INVESCO,ETF,IE00BMW3NY56
190,IE00BFG1RG61,INVESCO GS EQUITY FAC WORLD UCITS ETF,EFIW.MI,GOLDMAN SACHS EQUITY FACTOR INDEX WORLD TRN,0.0055,AZIONARIO MONDO,INVESCO,ETF,EFIW.MI
192,LU1437018598,AMUNDI JP MORGAN EMU GOV IG UCITS ETF DR,EGOVI.MI,JP MORGAN EMU GBI INVESTMENT GRADE,0.0014,TITOLI DI STATO - EURO,AMUNDI,ETF,LU1437018598
193,IE00BZ56TQ67,WISDOMTREE EURO QUAL DIV GROW UCITS ETF,EGRA.MI,WISDOMTREE EUROZONE QUALITY DIVIDEND GROWTH INDEX,0.0029,AZIONARIO STYLE (SVILUPPATI),WISDOMTREE,ETF,IE00BZ56TQ67
194,IE00BKM4GZ66,ISHARES CORE MSCI EM IMI UCITS ETF ACC,EIMI.MI,MSCI EMERGING MARKETS IMI TRN,0.0018,AZIONARIO EMERGENTI - MONDO,ISHARES,ETF,IE00BKM4GZ66
196,LU1481203070,BNPP EASY MSCI JAP EXCW H EUR UCITS ETF,EJAH.MI,MSCI JAPAN EX CONTROVERSIAL WEAPONS (NTR) INDEX,0.0025,AZIONARIO TEMATICI,BNP PARIBAS,ETF,LU1481203070
199,IE00BFTWP510,SPDR EURO STOXX LOW VOLATILITY UCITS ETF,ELOW.MI,EURO STOXX LOW RISK WEIGHTED 100 TRN,0.003,AZIONARIO EUROPA - AREA,SPDR,ETF,IE00BFTWP510
200,LU1650489385,LYXOR EMTS 10-15Y IG DR UCITS ETF ACC,EM1015.MI,FTSE MTS EUROZONE GOV BOND IG 10-15 Y MIDP,0.00165,TITOLI DI STATO - EURO,LYXOR,ETF,EM1015.MI
201,LU1650487413,LYXOR EMTS 1-3Y INV GR DR UCITS ETF ACC,EM13.MI,FTSE MTS EUROZONE GOV BOND IG 1-3 Y MIDP,0.00165,TITOLI DI STATO - EURO,LYXOR,ETF,EM13.MI
202,LU1287023268,LYXOR EMTS 15+Y INV GR DR UCITS ETF ACC,EM15.MI,FTSE MTS MID PRICE INVG EX-CNO ETRIX 15+ TR,0.00165,TITOLI DI STATO - EURO,LYXOR,ETF,EM15.MI
203,LU1650488494,LYXOR EMTS 3-5Y INV GR DR UCITS ETF ACC,EM35.MI,FTSE MTS EUROZONE GOV BOND IG 3-5 Y MIDP,0.00165,TITOLI DI STATO - EURO,LYXOR,ETF,EM35.MI
204,LU1287023003,LYXOR EMTS 5-7Y INV GR DR UCITS ETF ACC,EM57.MI,FTSE MTS MID PRICE INVG EX-CNO ETRIX 5-7 TR,0.00165,TITOLI DI STATO - EURO,LYXOR,ETF,EM57.MI
205,LU1287023185,LYXOR EMTS 7-10Y INV GR DR UCITS ETF ACC,EM710.MI,FTSE MTS MID PRICE INVG EX-CNO ETRIX 7-10 TR,0.00165,TITOLI DI STATO - EURO,LYXOR,ETF,EM710.MI
206,LU1287023342,LYXOR EMTS HI R MW GOV DR UCITS ETF ACC,EMAAA.MI,FTSE MTS MID PR HIGH RATED MACRO-WEIGHT ALL MAT TR,0.00165,TITOLI DI STATO - EURO,LYXOR,ETF,EMAAA.MI
207,IE00B466KX20,SPDR MSCI EM ASIA UCITS ETF,EMAE.MI,MSCI EM ASIA TRN INDEX,0.0055,AZIONARIO EMERGENTI - ASIA,SPDR,ETF,EMAE.MI
208,IE00B9M6RS56,ISHARES JPMOR $ EM BOND EU HED UCITS ETF,EMBE.MI,JP MORGAN EMBI GLOBAL CORE INDEX EUR HEDGED TRN,0.005,TITOLI DI STATO - EMERGENTI,ISHARES,ETF,IE00B9M6RS56
210,IE00B6TLBW47,ISHARES JP MORG $ EM CORP BOND UCITS ETF,EMCR.MI,JP MORGAN CEMBI BROAD DIVERSIFIED CORE,0.005,OBBLIGAZIONARIO CORPORATE - EMERGENTI,ISHARES,ETF,IE00B6TLBW47
211,IE00B6YX5B26,SPDR S&P EMERG MKTS DIVIDEND UCITS ETF,EMDV.MI,S&P EMERGING MARKETS DIVIDEND OPPORTUNITIES NTR,0.0055,AZIONARIO STYLE (EMERGENTI),SPDR,ETF,EMDV.MI
213,IE00B3Z3FS74,UBS MSCI EMERG MKTS SF UCITS ETF A-ACC,EMGEAS.MI,MSCI EMERGING MARKETS TRN INDEX,0.00205,AZIONARIO EMERGENTI - MONDO,UBS ETF,ETF,IE00B3Z3FS74
215,IE00BYYXBF44,INVESCO FTSE EM HI DIX LOW VOL UCITS ETF,EMHD.MI,FTSE EMERGING HIGH DIVIDEND LOW VOLATILITY TRN,0.0049,AZIONARIO STYLE (EMERGENTI),INVESCO,ETF,IE00BYYXBF44
217,FR0010429068,LYXOR MSCI EMERGING MKTS UCITS ETF ACC,EMKT.MI,MSCI EMERGING MARKETS TRN INDEX,0.0055,AZIONARIO EMERGENTI - MONDO,LYXOR,ETF,EMKT.MI
218,LU1686830909,LYXOR IBX $ LIQUID EMERGI SOV UCITS ETF,EMKTB.MI,MARKIT IBOXX $ LIQUID EMERGING MARKETS SOV MID PR,0.003,TITOLI DI STATO - EMERGENTI,LYXOR,ETF,EMKTB.MI
219,IE00BDS67326,VANECK J.P. MORGAN EM LOC CURR UCITS ETF,EMLC.MI,J.P. MORGAN GBI-EMG CORE INDEX,0.003,TITOLI DI STATO - EMERGENTI,VANECK,ETF,IE00BDS67326
220,IE00B4613386,SPDR BL BAR EM MKTS LOCAL BOND UCITS ETF,EMLD.MI,BARCLAYS CAPITAL EM LOCAL CURRENCY LIQUID GOV TR,0.0055,TITOLI DI STATO - EMERGENTI,SPDR,ETF,EMLD.MI
221,IE00BH3X8336,PIMCO EM ADVAN LOC BOND SOURCE UCITS ETF,EMLI.MI,PIMCO EMERGING MARKETS ADV LOCAL CUR BOND INDEX,0.006,TITOLI DI STATO - EMERGENTI,INVESCO,ETF,IE00BH3X8336
222,LU1720938841,UBS JPM EM MULFAC EN LOCUR UCITS ETF DIS,EMLOC.MI,JP MORGAN EM MULTI-FACTOR ENHANCED LOCAL CURBONDTR,0.0047,TITOLI DI STATO - EMERGENTI,UBS ETF,ETF,EMLOC.MI
223,LU0480132876,UBS MSCI EMERGING MKTS UCITS ETF A-DIS,EMMEUA.MI,MSCI EMERGING MARKETS TRN INDEX,0.00225,AZIONARIO EMERGENTI - MONDO,UBS ETF,ETF,LU0480132876
224,LU0950674175,UBS MSCI EMERGING UCITS ETF USD A-ACC,EMMUSC.MI,MSCI EMERGING MARKETS TRN INDEX,0.00225,AZIONARIO EMERGENTI - MONDO,UBS ETF,ETF,EMMUSC.MI
225,LU0705291903,OSSIAM EMER MKTS MIN VARIAN NR UCITS ETF,EMMV.MI,OSSIAM EMERGING MARKETS MINIMUM VARIANCE USD NTR,0.0075,AZIONARIO EMERGENTI - MONDO,OSSIAM,ETF,EMMV.MI
226,LU1377382012,BNPP EASY MOMENTUM EUROPE UCITS ETF,EMOM.MI,BNP PARIBAS EQUITY MOMENTUM EUROPE TR,0.003,AZIONARIO STYLE (SVILUPPATI),BNP PARIBAS,ETF,LU1377382012
228,IE00B469F816,SPDR MSCI EMERGING MARKETS UCITS ETF,EMRG.MI,MSCI EMERGING MARKETS TRN INDEX,0.0042,AZIONARIO EMERGENTI - MONDO,SPDR,ETF,EMRG.MI
230,LU0950668870,UBS MSCI EMU UCITS ETF (EUR) A-ACC,EMUAA.MI,MSCI EMU INDEX NR,0.0018,AZIONARIO EUROPA - AREA,UBS ETF,ETF,EMUAA.MI
231,LU0147308422,UBS MSCI EMU UCITS ETF A-DIS,EMUEUA.MI,MSCI EMU PRICE INDEX,0.0018,AZIONARIO EUROPA - AREA,UBS ETF,ETF,EMUEUA.MI
232,IE00BCLWRF22,ISHARES MSCI EMU LARGE CAP UCITS ETF ACC,EMUL.MI,MSCI EMU LARGE CAP TRN,0.0049,AZIONARIO EUROPA - AREA,ISHARES,ETF,IE00BCLWRF22
233,IE00B8KGV557,ISHARES EDG MSCI EM MIN VO UCITS ETF ACC,ISEMV.MI,MSCI EMERGING MARKETS MINIMUM VOLATILITY TRN,0.004,AZIONARIO EMERGENTI - MONDO,ISHARES,ETF,IE00B8KGV557
234,LU0446734369,UBS MSCI EMU VALUE UCITS ETF A-DIS,EMVEUA.MI,MSCI EMU PRICE INDEX,0.0025,AZIONARIO STYLE (SVILUPPATI),UBS ETF,ETF,EMVEUA.MI
235,LU1291104575,BNPP EASY MSCI N AMERICA EXCW UCITS ETF,ENAM.MI,MSCI NORTH AMERICA EX CONTROVERSIAL WEAPONS (NTR),0.0025,AZIONARIO TEMATICI,BNP PARIBAS,ETF,LU1291104575
237,LU0533032420,LYXOR MSCI WLD ENERGY UCITS ETF - ACC,ENERW.MI,MSCI WORLD ENERGY NTR,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,ENERW.MI
238,LU1291106356,BNPP EASY MSCI PACIF EXJP EXCW UCITS ETF,EPEJ.MI,MSCI PACIFIC EX-JAPAN EX CONTROVERSIAL WEAPONS NTR,0.0025,AZIONARIO TEMATICI,BNP PARIBAS,ETF,LU1291106356
239,IE00BDGSNL04,WISDOMTREE INDIA QUALITY UCITS ETF ACC,EPIE.MI,WISDOMTREE INDIA QUALITY INDEX,0.0073,AZIONARIO STYLE (EMERGENTI),WISDOMTREE,ETF,IE00BDGSNL04
240,LU1437018838,AMUNDI FTSE EPRA NAREIT GLO UCITS ETF DR,EPRA.MI,FTSE EPRA/NAREIT DEV EU NTR,0.0024,REAL ESTATE,AMUNDI,ETF,LU1437018838
243,IE00BYVTMS52,INVESCO EQQQ NASDAQ-100 UCITS ETF EUR H,EQEU.MI,NASDAQ 100,0.0035,AZIONARIO NORD AMERICA,INVESCO,ETF,EQEU.MI
245,IE0032077012,INVESCO EQQQ NASDAQ-100 UCITS ETF,EQQQ.MI,NASDAQ 100,0.002,AZIONARIO NORD AMERICA,INVESCO,ETF,EQQQ.MI
246,LU1377382103,BNPP EASY QUALITY EUROPE UCITS ETF,EQUA.MI,BNP PARIBAS EQUITY QUALITY EUROPE TR,0.003,AZIONARIO STYLE (SVILUPPATI),BNP PARIBAS,ETF,LU1377382103
247,IE00BCRY6557,ISHARES EU ULTRASHT BOND UCITS ETF DIST,ERNE.MI,MARKIT IBOXX EUR LIQUID INVEST GRADE ULTRASHORT TR,0.0009,OBBLIGAZIONARIO CORPORATE - EURO,ISHARES,ETF,IE00BCRY6557
248,IE00BKWQ0Q14,SPDR MSCI EUROP UCITS ETF,EROX.MI,MSCI TRN EUROPE INDEX,0.0025,AZIONARIO EUROPA - AREA,SPDR,ETF,IE00BKWQ0Q14
252,FR0010900076,AMUNDI EURO STOXX SMALL CAP UCITS ETF,ESM.MI,EURO STOXX SMALL,0.003,AZIONARIO STYLE (SVILUPPATI),AMUNDI,ETF,FR0010900076
253,LU0629460675,UBS MSCI EMU SOCIALLY RESPONS UCITS ETF,ESREUA.MI,MSCI EMU SRI 5% ISSUER CAPPED NT,0.0028,AZIONARIO TEMATICI,UBS ETF,ETF,LU0629460675
254,LU1900066462,LYXOR MSCI EAST EUROPE EX RUSS UCITS ETF,EST.MI,MSCI EM EASTERN EUROPE EX RUSSIA TRN,0.005,AZIONARIO EMERGENTI - EST EUROPA,LYXOR,ETF,EST.MI
256,LU1931974262,AMUNDI PRIME EUROPE UCITS ETF DR,ETFEU.MI,SOLACTIVE GBS DEV MARKETS EUROPE LARGE & MID EUR,0.0005,AZIONARIO EUROPA - AREA,AMUNDI,ETF,ETFEU.MI
257,LU1931974429,AMUNDI PRIME EUROZONE UCITS ETF DR,ETFEZ.MI,SOLACTIVE EURO 50 INDEX,0.0005,AZIONARIO EUROPA - AREA,AMUNDI,ETF,ETFEZ.MI
258,LU1931975236,AMUNDI PRIME GLOBAL GOVIES UCITS ETF DR,ETFGG.MI,SOLACTIVE GLOBAL DEVELOPED GOVERNMENT BOND INDEX,0.0005,OBBLIGAZIONARIO CORPORATE - MONDO,AMUNDI,ETF,ETFGG.MI
259,LU1931974692,AMUNDI PRIME GLOBAL UCITS ETF DR,ETFGLO.MI,SOLACTIVE GBS DEV MARKETS LARGE & MID CAP USD,0.0005,AZIONARIO MONDO,AMUNDI,ETF,ETFGLO.MI
260,LU1931975152,AMUNDI PRIME EURO GOVIES UCITS ETF DR,ETFGOV.MI,SOLACTIVE EUROZONE GOVERNMENT BOND INDEX,0.0005,TITOLI DI STATO - EURO,AMUNDI,ETF,ETFGOV.MI
261,LU1931974775,AMUNDI PRIME JAPAN UCITS ETF DR,ETFJAP.MI,SOLACTIVE GBS JAPAN LARGE & MID CAP INDEX,0.0005,AZIONARIO PACIFICO,AMUNDI,ETF,ETFJAP.MI
262,FR0010010827,LYXOR FTSE MIB UCITS ETF - DIST,ETFMIB.MI,FTSE MIB TRN,0.0035,AZIONARIO ITALIA,LYXOR,ETF,ETFMIB.MI
264,LU1931975319,AMUNDI PRIME US TREASURY UCITS ETF DR,ETFUST.MI,SOLACTIVE US TREASURY BOND INDEX,0.0005,TITOLI DI STATO - NON EURO,AMUNDI,ETF,ETFUST.MI
266,IE00BS7K8821,SPDR BL BAR 3-5Y EURO GOVT UCITS ETF,EU35.MI,BARCLAYS 3-5 YEAR EURO TREASURY BOND INDEX,0.0015,TITOLI DI STATO - EURO,SPDR,ETF,IE00BS7K8821
267,IE00BYSZ5Z42,SPDR BARCL 7-10 Y EURO GOVT UCITS ETF,EU7L.MI,BARCLAYS EURO 7-10 YEAR TREASURY BOND INDEX,0.0015,TITOLI DI STATO - EURO,SPDR,ETF,IE00BYSZ5Z42
268,IE00B3T9LM79,SPDR BARCL EUR CORPORATE BOND UCITS ETF,EUCO.MI,BARCLAYS EURO CORPORATE BOND TR,0.002,OBBLIGAZIONARIO CORPORATE - EURO,SPDR,ETF,EUCO.MI
269,IE00BMP3HJ57,UBS MSCI EMU CYCLICAL UCITS ETF A-DIS,EUCYC.MI,MSCI EMU CYCLICAL SECTORS CAPPED TRN,0.0025,AZIONARIO STYLE (SVILUPPATI),UBS ETF,ETF,IE00BMP3HJ57
270,IE00BMP3HL79,UBS MSCI EMU DEFENSIVE UCITS ETF A-DIS,EUDEF.MI,MSCI EMU DEFENSIVE SECTORS CAPPED TRN,0.0025,AZIONARIO STYLE (SVILUPPATI),UBS ETF,ETF,IE00BMP3HL79
271,IE00B5M1WJ87,SPDR S&P EURO DIV ARISTOCRATS UCITS ETF,EUDV.MI,S&P HIGH YIELD EURO DIVIDEND ARISTOCRATS NTR,0.003,AZIONARIO STYLE (SVILUPPATI),SPDR,ETF,EUDV.MI
272,IE0008471009,ISHARESCOREEUROSTOXX50€(DIST) UCITS ETF,EUE.MI,EURO STOXX 50,0.001,AZIONARIO EUROPA - AREA,ISHARES,ETF,EUE.MI
273,LU1600334798,UBS ETF MSCI EUROPE EUR HEDGED UCITS ETF,EUEUA.MI,MSCI EUROPE 100% HEDGED TO EUR TRN,0.003,AZIONARIO EUROPA - AREA,UBS ETF,ETF,LU1600334798
275,IE00BZ4BMM98,INVESCO EUSTX HIGH DIV LOW VOL UCITS ETF,EUHD.MI,EURO ISTOXX HIGH DIVIDEND LOW VOLATILITY 50 TRN,0.003,AZIONARIO STYLE (SVILUPPATI),INVESCO,ETF,IE00BZ4BMM98
276,IE00BD8D5H32,PIMCO EU SH-TERM HIGH YLD CORP UCITS ETF,PSEUHI.MI,BOFA MERRILL L 0-5 YEAR US HIGH YIELD 2% CONSTRAIN,0.0044,OBBLIGAZIONARIO CORPORATE - HIGH YIELD,INVESCO,ETF,IE00BD8D5H32
277,LU0599612842,OSSIAM ISTXX EUROPE MIN VAR NR UCITS ETF,EUMV.MI,ISTOXX EUROPE MINIMUM VARIANCE NTR,0.0065,AZIONARIO EUROPA - AREA,OSSIAM,ETF,EUMV.MI
278,IE0008470928,ISHARES STOXX EUROPE 50 UCITS ETF DIST,EUN.MI,STOXX EUROPE 50,0.0035,AZIONARIO EUROPA - AREA,ISHARES,ETF,EUN.MI
280,LU0446734104,UBS MSCI EUROPE UCITS ETF A-DIS,EUREUA.MI,MSCI EUROPE,0.002,AZIONARIO EUROPA - AREA,UBS ETF,ETF,EUREUA.MI
281,IE00B910VR50,SPDR MSCI EMU UCITS ETF,EURO.MI,MSCI EMU TRN,0.0018,AZIONARIO EUROPA - AREA,SPDR,ETF,IE00B910VR50
282,LU1861137484,AMUNDI MSCI EUROPE SRI UCITS ETF DR,EUSRI.MI,MSCI EUROPE SRI,0.0018,AZIONARIO TEMATICI,AMUNDI,ETF,EUSRI.MI
283,LU1377382285,BNPP EASY VALUE EUROPE UCITS ETF,EVAE.MI,BNP PARIBAS EQUITY VALUE EUROPE TR,0.003,AZIONARIO STYLE (SVILUPPATI),BNP PARIBAS,ETF,LU1377382285
284,LU1377381717,BNPP EASY LOWVOL EUROPE UCITS ETF,EVOE.MI,BNP PARIBAS EQUITY LOW VOL EUROPE TR INDEX,0.003,AZIONARIO STYLE (SVILUPPATI),BNP PARIBAS,ETF,LU1377381717
285,LU1377381980,BNPP EASY LOWVOL US UCITS ETF,EVOU.MI,BNP PARIBAS EQUITY LOW VOL US TR INDEX,0.003,AZIONARIO STYLE (SVILUPPATI),BNP PARIBAS,ETF,LU1377381980
289,LU1233598447,LYXOR FED FUNDS USD CASH UCITS ETF ACC,FEDF.MI,SOLACTIVE FED FUNDS EFFECTIVE RATE TR,0.001,LIQUIDITA',LYXOR,ETF,LU1233598447
291,LU1834984798,LYXOR STX EU600 FINANCIAL SERV UCITS ETF,FINS.MI,STOXX EUROPE 600 FINANCIAL SERVICES TRN,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,FINS.MI
293,IE00BFWXDW46,FRANKLIN LIBERTYQ EUROP EQUITY UCITS ETF,FLEQ.MI,LIBERTYQ EUROPE EQUITY INDEX,0.0025,AZIONARIO STYLE (SVILUPPATI),FRANKLIN TEMPLETON,ETF,FLEQ.MI
294,IE00BF11F458,ISHARES $ FLOAT RATE UCITS ETF EUR HED,ISFLOE.MI,BLOOMBERG BARCLAYS US FLOATING RATE NOTE < 5YEARS,0.0012,OBBLIGAZIONARIO CORPORATE - NON EURO,ISHARES,ETF,IE00BF11F458
296,LU1571052130,LYXOR $ FLOA RAT NOTE EU H UCITS ETF DIS,FLOTH.MI,BLOOMBERG BARCLAYS US CORP FRN 2-7 YR TR HED EUR,0.0015,OBBLIGAZIONARIO CORPORATE - NON EURO,LYXOR,ETF,LU1571052130
297,IE00BFWXDV39,FRANKLIN LIBERTYQ ASIA EX JAP UCITS ETF,FLQA.MI,LIBERTYQ ASIA EX JAPAN EQUITY INDEX,0.004,AZIONARIO STYLE (EMERGENTI),FRANKLIN TEMPLETON,ETF,FLQA.MI
298,IE00BZ048462,ISHARES $ FLOATING RATE UCITS ETF USD,ISFLTR.MI,BLOOMBERG BARCLAYS US FLOATING RATE NOTE < 5YEARS,0.001,OBBLIGAZIONARIO CORPORATE - NON EURO,ISHARES,ETF,IE00BZ048462
299,IE00BF2B0L69,FRANKLIN LIBERTYQ EUROP DIVID UCITS ETF,FLXD.MI,LIBERTYQ EUROPEAN DIVIDEND INDEX,0.0025,AZIONARIO STYLE (SVILUPPATI),FRANKLIN TEMPLETON,ETF,FLXD.MI
300,IE00BF2B0K52,FRANKLIN LIBERTYQ EMERGING MKT UCITS ETF,FLXE.MI,LIBERTYQ EMERGING MARKETS NR INDEX,0.0055,AZIONARIO STYLE (EMERGENTI),FRANKLIN TEMPLETON,ETF,FLXE.MI
301,IE00BF2B0N83,FRANKLIN LIBERTYQ GLOB EQ SRI UCITS ETF,FLXG.MI,LIBERTYQ GLOBAL EQUITY SRI INDEX,0.004,AZIONARIO STYLE (SVILUPPATI),FRANKLIN TEMPLETON,ETF,FLXG.MI
303,IE00BF2B0M76,FRANKLIN LIBERTYQ GLOBAL DIVID UCITS ETF,FLXX.MI,LIBERTYQ GLOBAL DIVIDEND INDEX,0.0045,AZIONARIO STYLE (SVILUPPATI),FRANKLIN TEMPLETON,ETF,FLXX.MI
304,LU1681037518,AMUNDI FTSE MIB UCITS ETF,FMI.MI,FTSE MIB,0.0018,AZIONARIO ITALIA,AMUNDI,ETF,FMI.MI
306,LU1650492173,LYXOR FTSE 100 UCITS ETF - ACC,FTS100.MI,FTSE 100 TR,0.0015,AZIONARIO EUROPA - SINGOLI PAESI,LYXOR,ETF,LU1650492173
